source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
272,4982,causes,China's financial policy adjustments are responding to US tariff threats.,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.","pledged to increase the budget deficit, issue more debt and loosen monetary policy","China announced a commitment to increase its budget deficit, issue more debt, and loosen monetary policy to stabilize economic growth amid increased trade tensions with the US.",,,,,"{'agent': 'China', 'object': 'economic policy', 'location': 'China', 'time': '2024-12-12', 'counterpart': 'United States', 'impact_summary': 'China aims to stabilize its economy in response to anticipated US tariff threats, prioritizing growth over financial risks.', 'cause': ""Anticipated return of US tariffs under Donald Trump's administration""}",,2024-12-12,,China,,China,,,35.0000663,104.999955
32266,5654,causes,The CSP signing reflects a strategic move in response to China's assertiveness in the South China Sea.,China's maritime claims,"China has been increasingly assertive about its claims in the South China Sea, causing regional tensions with Southeast Asian countries that have overlapping claims.",signed a comprehensive strategic partnership,Vietnam and Malaysia signed a comprehensive strategic partnership to strengthen their diplomatic relations and present a more unified stand against China's maritime claims.,,,,,"{'agent': 'Vietnam and Malaysia', 'object': 'comprehensive strategic partnership', 'location': 'Malaysia', 'time': '2024-11-21', 'counterpart': 'China', 'impact_summary': ""The partnership aims to present a unified front against China's claims in the South China Sea."", 'cause': 'Growing assertiveness from China regarding maritime claims in the South China Sea.'}",,2024-11-21,,Vietnam and Malaysia,,Malaysia,,,4.5693754,102.2656823
5613,5834,causes,Militaristic response to political tensions and perceived encroachments.,spoke with House Speaker Mike Johnson,"Taiwan President Lai Ching-te spoke with US House Speaker Mike Johnson and other US congressional leaders during his visit to the Pacific, amidst China's warning about crossing their 'red lines.'",joint manoeuvres with Russia,"Chinese and Russian forces conducted joint simulated attacks near Taiwan, highlighting their increasing military cooperation.",,,,,,,,,,,,,,,
5894,31832,causes,Export restrictions lead to broader industry impact on Chinese companies.,curbing exports,"The United States launched a crackdown, curbing exports to 140 Chinese companies, including Naura Technology Group, to limit China's semiconductor industry's growth.",restrictions on exports to China,"The US government has imposed restrictions on chip exports to China, citing national security concerns.",,,,"{'agent': 'United States', 'object': 'exports to Chinese companies', 'location': 'United States to China', 'time': '2024-12-02', 'counterpart': 'Naura Technology Group', 'impact_summary': ""Restricts China's ability to advance in semiconductor production and use chips to enhance military capabilities."", 'cause': ""Effort to limit Beijing's chipmaking ambitions.""}",,2024-12-02,,United States,,United States to China,,22.27804275,114.15875553291917,,
6144,5934,causes,Discussion was a response to China's military actions near Taiwan.,US approves $515 million arms sale to Taiwan,The US State Department approved the sale of spare parts for F-16 jets and radars to Taiwan for an estimated $515 million.,"discussed ""China's military threats""",Taiwanese President Lai Ching-te discussed Chinese military threats towards Taiwan with former US House speaker Nancy Pelosi during his US visit.,,,,,,,,,,,,,,,
272,6087,causes,Meeting followed Trump's tariff pledge,threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",very productive meeting,"US President-elect Donald Trump and Canadian Prime Minister Justin Trudeau held a meeting discussing border-related issues, trade, energy, and the Arctic.",,,,,"{'agent': 'Donald Trump, Justin Trudeau', 'object': 'border-related issues, trade, energy, and the Arctic', 'location': 'Mar-a-Lago, Florida', 'time': '2024-11-30', 'counterpart': None, 'impact_summary': 'Potential to influence North American trade policies and cooperation on cross-border issues.', 'cause': 'Recent pledge by Trump to impose tariffs on Canadian and Mexican imports.'}",,2024-11-30,,"Donald Trump, Justin Trudeau",,"Mar-a-Lago, Florida",,,26.6769953,-80.03791800815728
6087,6089,related_to,Discussion potentially influenced by the larger context of US trade policies.,very productive meeting,"US President-elect Donald Trump and Canadian Prime Minister Justin Trudeau held a meeting discussing border-related issues, trade, energy, and the Arctic.",Mexico's warning on tariff consequences,"Mexico President Claudia Sheinbaum warned the potential consequences of Trump's tariff plan, suggesting possible retaliation.",,,,"{'agent': 'Donald Trump, Justin Trudeau', 'object': 'border-related issues, trade, energy, and the Arctic', 'location': 'Mar-a-Lago, Florida', 'time': '2024-11-30', 'counterpart': None, 'impact_summary': 'Potential to influence North American trade policies and cooperation on cross-border issues.', 'cause': 'Recent pledge by Trump to impose tariffs on Canadian and Mexican imports.'}",,2024-11-30,,"Donald Trump, Justin Trudeau",,"Mar-a-Lago, Florida",,26.6769953,-80.03791800815728,,
6090,6083,causes,The visit prompted statements and actions from the US regarding engagement with Taiwan.,arrived,"Taiwan President Lai Ching-te arrived in the United States to start a week-long Pacific tour, sparking anger in Beijing due to Taiwan's sovereignty claims.",threatened to impose a 100 per cent tariff,President-elect Donald Trump threatened to impose a 100% tariff on Brics countries if they undercut the US dollar.,,,,"{'agent': 'Taiwan President Lai Ching-te', 'object': 'week-long Pacific tour', 'location': 'United States', 'time': '2024-11-30', 'counterpart': 'Beijing', 'impact_summary': ""The visit is part of efforts to strengthen Taiwan's international presence and assert sovereignty."", 'cause': ""Taiwan's desire to strengthen international relations and democracy advocacy.""}","{'agent': 'Donald Trump', 'object': 'tariff on Brics countries', 'location': 'United States', 'time': '2024-11-30', 'counterpart': 'Brics countries', 'impact_summary': ""The threat aims to deter the Brics countries from undermining the US dollar's dominance."", 'cause': ""Trump's protectionist agenda and concerns over Brics non-dollar transactions""}",2024-11-30,2024-11-30,Taiwan President Lai Ching-te,Donald Trump,United States,United States,39.7837304,-100.445882,39.7837304,-100.445882
6144,5580,related_to,Arms sale related to tensions due to Mr. Lai's Pacific trip.,US approves $515 million arms sale to Taiwan,The US State Department approved the sale of spare parts for F-16 jets and radars to Taiwan for an estimated $515 million.,Taiwan President Lai Ching-te's Pacific trip,Taiwan President Lai Ching-te commenced a sensitive Pacific trip with stopovers in the US territories of Hawaii and Guam.,,,,,,,,,,,,,,,
6240,6238,causes,The construction was a response to the relocation of the event from Russia due to geopolitical reasons.,relocated from its original Russian venue,The World Aquatics Championships was relocated from Russia to Singapore in response to the Russian invasion of Ukraine.,work on the temporary facility,"Construction has begun on a temporary venue in Kallang to host the World Aquatics Championships in Singapore, targeted for completion by May 2024.",,,,,"{'agent': 'Organising committee of World Aquatics Championships', 'object': 'temporary facility', 'location': 'Kallang, Singapore', 'time': '2024-11-29', 'counterpart': None, 'impact_summary': 'To accommodate major aquatic events due to the relocation from Russia, providing facilities for athletes and spectators.', 'cause': 'Relocation from original Russian venue due to invasion of Ukraine'}",,2024-11-29,,Organising committee of World Aquatics Championships,,"Kallang, Singapore",,,1.310759,103.866262
6291,6293,causes,The restructuring proposal was influenced by Evergrande's debt burden and default.,offshore debt restructuring proposal,"In April 2023, Evergrande proposed exchanging existing debt for new notes with longer maturities as part of its offshore debt restructuring strategy.",ordered into liquidation,China Evergrande was ordered into liquidation by a Hong Kong court following offshore debt default in late 2021.,,,,"{'agent': 'China Evergrande', 'object': 'Offshore debt', 'location': 'Global', 'time': '2023-04', 'counterpart': 'Holders of notes issued by Scenery Journey and Tianji Holding', 'impact_summary': 'The proposal aimed to extend debt maturities and improve liquidity amidst financial distress.', 'cause': ""Evergrande's significant liabilities exceeding US$300 billion.""}","{'agent': 'Hong Kong Court', 'object': 'China Evergrande', 'location': 'Hong Kong', 'time': '2024-01', 'counterpart': None, 'impact_summary': ""The liquidation order marked a critical stage in Evergrande's ongoing financial crisis, impacting creditors and stakeholders worldwide."", 'cause': ""Evergrande's inability to service its colossal debt.""}",2023-04,2024-01,China Evergrande,Hong Kong Court,Global,Hong Kong,55.702215,12.5592485,22.350627,114.1849161
6565,6567,causes,The advancement in chip-making was in response to supply chain challenges due to US sanctions.,US sanctions have cut Huawei off from global supply chains,"Since 2019, US sanctions have severely impacted Huawei by restricting access to global supply chains, affecting its ability to produce smartphones reliant on US components.",More than three million have been pre-ordered,"Over three million Mate 70 smartphones have been pre-ordered, indicating high consumer interest and the potential success of Huawei's new product.",,,,,,,,,,,,,,,
6717,6718,causes,Event 3 potentially alters the U.S.'s stance as described in Event 2.,election of Donald Trump,The election of Donald Trump as President of the United States raised uncertainties about the U.S. commitment to plastic production caps and international environmental agreements.,Plastics breaking down into little substances,"Fiji faces significant environmental and public health challenges due to plastic pollution, stressing the need for a global treaty.",,,,,,,,,,,,,,,
8219,8117,causes,Meeting with Biden occurred as Prabowo was in the US for further discussions.,congratulations to president-elect Donald Trump by phone,"President Prabowo Subianto congratulated president-elect Donald Trump during a phone call, expressing willingness to collaborate.",met with US President Joe Biden,Indonesian President Prabowo Subianto met with US President Joe Biden at the White House to strengthen bilateral relations and discuss regional and global issues.,,,,,,,,,,,,,,,
8267,8241,causes,Rubio's stance aligns with advocating diplomatic rather than military solutions.,voted against a US$95 billion military aid package for Ukraine,"Marco Rubio was among 15 Republican senators opposing a massive military aid package for Ukraine, pointing towards restrained foreign engagement priorities.",met with several US company representatives,President Prabowo met with representatives from US companies such as Freeport McMoRan and Chevron to discuss potential investments in Indonesia.,,,,,,,,,,,,,,,
9199,9196,causes,Drills conducted in response to North Korea's missile test.,inspected reconstruction,Kim Jong Un inspected reconstruction efforts in areas affected by floods near the China border.,joint live-fire attack drills,"Following North Korea's missile test, US and South Korean air forces conducted joint military drills involving advanced drones and precision strikes.",,,,"{'agent': 'Kim Jong Un', 'object': 'flood-hit areas', 'location': 'Near China-North Korea border', 'time': '2024-11-03', 'counterpart': None, 'impact_summary': 'Focus on domestic recovery efforts following natural disasters.', 'cause': 'Previous torrential rains and floods'}","{'agent': 'South Korean and US air forces', 'object': 'enemy targets', 'location': 'South Korea', 'time': '2024-10-31', 'counterpart': None, 'impact_summary': ""Demonstrated military readiness and response to North Korea's missile testing."", 'cause': ""North Korea's recent ICBM test""}",2024-11-03,2024-10-31,Kim Jong Un,South Korean and US air forces,Near China-North Korea border,South Korea,,,36.638392,127.6961188
9560,966,causes,Expanded naval forces contribute to territorial disputes,stepped up expansion of its naval forces,"China continued its naval expansion, deploying vessels to strategically control regions in the Pacific and challenge US-led alliances.",overtaken US rival ChatGPT,"DeepSeek's AI assistant surpassed ChatGPT in downloads from Apple's app store, marking a significant milestone for the company.",,,,"{'agent': 'China', 'object': 'naval forces', 'location': 'Pacific region', 'time': 'Recent years', 'counterpart': 'US-led alliance', 'impact_summary': ""Strengthens China's regional influence and sovereignty assertions."", 'cause': ""China's strategic ambition in the Pacific""}",,Recent years,,China,,Pacific region,,3.6775593,31.2969315,,
9912,9935,causes,China's pledge for countermeasures was a direct response to the arms sale approval,US okays $2.6 billion arms sale to Taiwan,"The United States approved a US$2 billion arms sale package to Taiwan, leading to international tensions as China vows countermeasures.",China vows ‘countermeasures’,"China announced plans to take countermeasures in response to the US's decision to sell arms to Taiwan, citing concerns over sovereignty and territorial integrity.",,,,,,,,,,,,,,,
10552,31957,causes,Lai's rhetoric on sovereignty led to China's intensified military response.,Lai Ching-te's rhetoric defending sovereignty,Taiwanese President Lai Ching-te's strong stance on Taiwan's sovereignty provokes a harsh response from China.,large-scale war games around Taiwan,China staged large-scale military exercises around Taiwan following political visits between Taiwanese leaders and US officials causing anger in Beijing.,,,,,,,,,,,,,,,
10798,10799,related_to,China's support for Iran is related to ongoing Israel-Iran tensions.,Chinese declaration of support for Iran,"China declared its support for Iran in its conflict with Israel, potentially complicating China's relations with Israel and boosting its influence in Iran.",recent missile attack on military targets near Tel Aviv,"Iran launched a missile attack on military and intelligence targets near Tel Aviv, escalating tensions in the region.",,,,,,,,,,,,,,,
21870,11135,causes,Lai's commitment to resist annexation responds to China's sovereignty claims over Taiwan,stepped up its military and political pressure,"China intensifies its military and political pressure on Taiwan, viewing it as a part of sovereign Chinese territory.",vows to resist annexation,"Taiwanese President Lai Ching-te vowed to resist the annexation efforts from China, reinforcing Taiwan's stance against Chinese territorial claims during the National Day celebrations.",,,,"{'agent': 'China', 'object': 'Taiwan', 'location': 'Taiwan Strait', 'time': '2025-02-03', 'counterpart': None, 'impact_summary': 'Increases regional tension and necessitates diplomatic efforts for peace.', 'cause': ""Lai's separatist stance and Taiwan's independence push""}","{'agent': 'Taiwanese President Lai Ching-te', 'object': 'annexation efforts', 'location': 'Taiwan', 'time': '2024-10-10', 'counterpart': 'China', 'impact_summary': ""The vow underscores Taiwan's commitment to its sovereignty, amidst growing tensions with China."", 'cause': ""China's increasing military and political pressure on Taiwan""}",2025-02-03,2024-10-10,China,Taiwanese President Lai Ching-te,Taiwan Strait,Taiwan,24.49173883966648,119.60540174291498,23.5983227,120.83537694479215
21870,11835,causes,Military aid could be perceived as a response to Chinese military pressure on Taiwan.,stepped up its military and political pressure,"China intensifies its military and political pressure on Taiwan, viewing it as a part of sovereign Chinese territory.",authorises US$571 million in military aid to Taiwan,US President Biden approved US$571 million in military aid to Taiwan to strengthen its defense capabilities against rising tensions with China.,,,,"{'agent': 'China', 'object': 'Taiwan', 'location': 'Taiwan Strait', 'time': '2025-02-03', 'counterpart': None, 'impact_summary': 'Increases regional tension and necessitates diplomatic efforts for peace.', 'cause': ""Lai's separatist stance and Taiwan's independence push""}",,2025-02-03,,China,,Taiwan Strait,,24.49173883966648,119.60540174291498,,
12216,12222,causes,Election win leads to an increase in diplomatic visits,won the election,"Mr Prabowo Subianto won the Indonesian presidential election in February, indicating a future shift in the country's diplomatic approach.",visited about 20 countries,"Prabowo Subianto, since winning the election, has visited approximately 20 countries to build international relations ahead of his presidency.",,,,"{'agent': 'Mr Prabowo Subianto', 'object': 'Indonesian presidential election', 'location': 'Indonesia', 'time': '2024-02', 'counterpart': None, 'impact_summary': 'Implicates future changes in foreign policy direction.', 'cause': 'Presidential election'}","{'agent': 'Prabowo Subianto', 'object': 'international relations', 'location': 'Multiple countries', 'time': '2024-03 to 2024-09', 'counterpart': 'Global leaders', 'impact_summary': 'Strengthening diplomatic ties and gaining international support by engaging strategically positioned countries.', 'cause': ""Prabowo's position as President-elect and incumbent defense minister facilitating foreign visits.""}",2024-02,2024-03 to 2024-09,Mr Prabowo Subianto,Prabowo Subianto,Indonesia,Multiple countries,-2.4833826,117.8902853,,
12424,12417,causes,The debt restructuring agreement is a response to the economic crisis in Sri Lanka.,fatal stabbing,"A Japanese schoolboy was fatally stabbed in Shenzhen, impacting Sino-Japanese relations and raising safety concerns for Japanese nationals in China.",International bondholders deal,Sri Lanka reached an agreement with international bondholders to finalize a prolonged debt restructuring process amid financial instability.,,,,"{'agent': None, 'object': 'Japanese schoolboy', 'location': 'Shenzhen, China', 'time': '2024-09-20', 'counterpart': 'Japanese community', 'impact_summary': 'Increased unease and potential strain in community relations.', 'cause': 'The incident of the stabbing'}",,2024-09-20,,,,"Shenzhen, China",,22.5445741,114.0545429,,
12421,12467,related_to,Diplomatic tensions are contextually related to trade and military activities.,relations worsened,Tensions between Japan and China have worsened due to territorial disputes and Japan's security ties with the US.,Japan demanded an explanation,"Japan's Prime Minister, Fumio Kishida, demanded that China explain the circumstances surrounding the stabbing of a Japanese boy, amidst ongoing diplomatic discussions.",,,,"{'agent': 'Japan and China', 'object': 'bilateral relations', 'location': 'East Asia', 'time': '2024', 'counterpart': 'United States', 'impact_summary': 'Escalating political and territorial tensions continue to affect diplomatic relations.', 'cause': ""China's assertiveness in territorial disputes and Japan's alliances.""}",,2024,,Japan and China,,East Asia,,-6.1951151,106.69858181396745,,
12426,12424,causes,Japanese PM's demand resulted from the stabbing incident.,ramp up the security,Japan will spend ¥43 million to enhance the security of its schools in China following the stabbing incident.,fatal stabbing,"A Japanese schoolboy was fatally stabbed in Shenzhen, impacting Sino-Japanese relations and raising safety concerns for Japanese nationals in China.",,,,"{'agent': 'Japanese Government', 'object': 'security of Japanese schools', 'location': 'China', 'time': '2024-09-23', 'counterpart': None, 'impact_summary': ""Reflects Japan's immediate action to protect its citizens and prevent similar incidents."", 'cause': 'Stabbing of a Japanese schoolboy in Shenzhen.'}","{'agent': None, 'object': 'Japanese schoolboy', 'location': 'Shenzhen, China', 'time': '2024-09-20', 'counterpart': 'Japanese community', 'impact_summary': 'Increased unease and potential strain in community relations.', 'cause': 'The incident of the stabbing'}",2024-09-23,2024-09-20,Japanese Government,,China,"Shenzhen, China",35.0000663,104.999955,22.5445741,114.0545429
13403,13405,related_to,The leak relates to ongoing territorial disputes in the South China Sea involving Malaysia and China.,leak of a classified diplomatic note,Malaysia announced an internal investigation into the leak of a classified diplomatic note from China regarding sovereignty disputes in the South China Sea.,asserting that Kuala Lumpur's oil and gas exploration infringed on China's sovereignty,China sent a document to Malaysia asserting that its oil and gas exploration in the South China Sea infringes on Chinese sovereignty.,,,,"{'agent': ""Malaysia's foreign ministry"", 'object': 'classified diplomatic note', 'location': 'Malaysia', 'time': '2024-09-04', 'counterpart': 'China', 'impact_summary': 'The leak may strain diplomatic relations and has drawn concerns over diplomatic confidentiality.', 'cause': 'unspecified security lapse or unauthorized disclosure'}",,2024-09-04,,Malaysia's foreign ministry,,Malaysia,,4.5693754,102.2656823,,
13565,13562,causes,Act provided funding to support initiatives like TSMC's investment in Arizona,US Congress approved the Chips and Science Act,The US Congress passed the Chips and Science Act to support domestic semiconductor manufacturing with generous subsidies.,remarks pummelled shares of Taiwan Semiconductor Manufacturing Company (TSMC),Donald Trump's remarks led to a decline in TSMC's shares due to concerns over Taiwan's semiconductor role.,,,,,,,,,,,,,,,
13634,15074,related_to,Part of continued territorial and maritime sovereignty disputes,documented piles of dead coral,Philippines accused China of building an artificial island and evidencing environmental damage at the Sabina Shoal from the construction efforts alleged by the Philippines.,won Olympic tennis singles gold,"Zheng Qinwen becomes the first Chinese player ever to win Olympic tennis singles gold by defeating Croatia’s Donna Vekic 6-2, 6-3 in the final.",,,,"{'agent': 'Philippines', 'object': 'artificial island', 'location': 'Sabina Shoal, South China Sea', 'time': '2024-04', 'counterpart': 'China', 'impact_summary': 'The accusation suggests environmental harm and ongoing Chinese territorial expansion efforts in disputed waters.', 'cause': ""China's territorial expansion strategy""}",,2024-04,,Philippines,,"Sabina Shoal, South China Sea",,,,,
14171,23168,causes,China's military and diplomatic response to Philippine actions,expanding military infrastructure,"The Philippines is expanding military infrastructure on Thitu Island to accommodate potential foreign military presence, as reported by China's Global Times.",territorial disputes in the South China Sea,"The Philippines is facing territorial disputes with China in the South China Sea, which continue to affect international relations.",,,,"{'agent': 'Philippines', 'object': 'military infrastructure', 'location': 'Thitu Island, South China Sea', 'time': None, 'counterpart': 'United States, Japan', 'impact_summary': ""This action challenges China's claims and adds military tension in the region, threatening peace and stability."", 'cause': 'Strategic development by the Philippines to fortify its occupied territories'}",,,,Philippines,,"Thitu Island, South China Sea",,,,,
29735,14358,causes,Japan's promotional strategy is in response to China's import ban,China banned all seafood imports,China imposed a ban on seafood imports from Japan in response to the release of treated water from Fukushima's nuclear plant.,promotional efforts to boost seafood exports,"Japan boosts its promotional efforts to export seafood to Asia, the US, and Europe to compensate for losses caused by China's seafood import ban.",,,,,"{'agent': 'Japan', 'object': 'seafood exports', 'location': 'Asia, US, Europe', 'time': '2024-08-20', 'counterpart': 'China', 'impact_summary': 'Diversification aims to mitigate the sales gap due to the Chinese ban.', 'cause': ""China's import ban on Japanese seafood over contamination concerns""}",,2024-08-20,,Japan,,"Asia, US, Europe",,,,
15242,23168,related_to,Joint sail is a response to regional tensions involving China.,conducted a joint sail,Naval vessels from the Philippines and the United States conducted a joint sail in the South China Sea to demonstrate cooperation and enhance maritime capabilities.,territorial disputes in the South China Sea,"The Philippines is facing territorial disputes with China in the South China Sea, which continue to affect international relations.",,,,"{'agent': 'Philippines and US navies', 'object': 'joint sail', 'location': 'South China Sea, west of Palawan island', 'time': '2023-09-04', 'counterpart': None, 'impact_summary': 'Strengthens military ties and maritime presence amidst regional tensions.', 'cause': 'Heightened tension between Manila and Beijing over South China Sea claims.'}",,2023-09-04,,Philippines and US navies,,"South China Sea, west of Palawan island",,,,,
15390,15552,causes,Regular engagements influence maritime policy and security strategies,US-Philippines engagements,US and the Philippines engage in regular diplomatic interactions to ensure 'agile' responses to maritime tensions with China.,reached a provisional agreement,The Philippines and China reached a provisional agreement for resupply missions in the South China Sea to ease tensions.,,,,,"{'agent': 'Philippines and China', 'object': 'resupply missions', 'location': 'South China Sea', 'time': '2024-07-21', 'counterpart': None, 'impact_summary': 'Aims to de-escalate tensions by facilitating supply missions.', 'cause': 'Need to address escalating confrontations in the area.'}",,2024-07-21,,Philippines and China,,South China Sea,,,15.0000001,114.9999999
15693,2579,causes,Biden's withdrawal resulted in Trump's second term victory.,forced to drop out of the race,Joe Biden was forced to drop out of the presidential race due to a weak showing in a debate against Trump.,slowing economy,"China's economic growth slowed, with GDP growing 4.8% in the first nine months of 2024, missing the target of around 5%.",,,,"{'agent': 'Joe Biden', 'object': 'presidential candidacy', 'location': 'United States', 'time': '2024-06-15', 'counterpart': 'Donald Trump', 'impact_summary': ""Biden's withdrawal opened the path for Trump to secure a second term."", 'cause': ""Biden's performance in the debate.""}","{'agent': 'Chinese economy', 'object': 'economic growth', 'location': 'China', 'time': 'recent months', 'counterpart': None, 'impact_summary': 'Reflects challenges such as weaker demand and impacts on various sectors, though some like catering are thriving.', 'cause': 'Post-COVID recovery momentum slowing and external economic factors.'}",2024-06-15,recent months,Joe Biden,Chinese economy,United States,China,39.7837304,-100.445882,35.0000663,104.999955
16347,16348,causes,Investment influenced by India's economic growth,to invest up to US$10 billion in India,"Temasek prepares to invest up to US$10 billion in India over three years, focusing on financial services and healthcare sectors, due to India's economic growth and geopolitical tensions in China.",India's economy is growing sharply,"India's economy is experiencing significant growth, with stock markets near record highs amidst a surge in IPOs and dealmaking.",,,,,,,,,,,,,,,
16348,16350,causes,Economic growth influenced investment decisions like Temasek's,India's economy is growing sharply,"India's economy is experiencing significant growth, with stock markets near record highs amidst a surge in IPOs and dealmaking.",spent US$2 billion to raise its stake in Manipal,"Temasek increased its stake in Manipal Hospitals to 59% in April 2023, marking the largest deal in India's hospital sector history.",,,,,,,,,,,,,,,
